Link,Origin,Airport
https://www.google.com/flights#flt=ATL..2019-09-06*.ATL.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-409385198.-380131891.708626437.-1617631891;t:e,Atlanta,ATL
https://www.google.com/flights#flt=BWI..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Baltimore,BWI
https://www.google.com/flights#flt=BOS..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Boston,BOS
https://www.google.com/flights#flt=CLT..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Charlotte,CLT
https://www.google.com/flights#flt=ORD..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Chicago,ORD
https://www.google.com/flights#flt=MDW..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Chicago,MDW
https://www.google.com/flights#flt=CVG..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Cincinnati,CVG
https://www.google.com/flights#flt=CLE..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Cleveland,CLE
https://www.google.com/flights#flt=CMH..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Columbus,CMH
https://www.google.com/flights#flt=DFW..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Dallas,DFW
https://www.google.com/flights#flt=DEN..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Denver,DEN
https://www.google.com/flights#flt=DTW..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Detroit,DTW
https://www.google.com/flights#flt=FLL..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Fort Lauderdale,FLL
https://www.google.com/flights#flt=HNL..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Honolulu,HNL
https://www.google.com/flights#flt=IAH..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Houston,IAH
https://www.google.com/flights#flt=LAS..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Las Vegas,LAS
https://www.google.com/flights#flt=LAX..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Los Angeles,LAX
https://www.google.com/flights#flt=MIA..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Miami,MIA
https://www.google.com/flights#flt=MSP..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Minneapolis/St. Paul,MSP
https://www.google.com/flights#flt=JFK..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,New York City,JFK
https://www.google.com/flights#flt=EWR..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Newark,EWR
https://www.google.com/flights#flt=MCO..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Orlando,MCO
https://www.google.com/flights#flt=PHL..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Philadelphia,PHL
https://www.google.com/flights#flt=PHX..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Phoenix,PHX
https://www.google.com/flights#flt=PDX..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Portland (OR),PDX
https://www.google.com/flights#flt=SLC..2019-09-06*.BWI.2019-09-10;c:USD;e:1;ls:1w;p:65000.2.USD;sd:0;er:-422819512.-275822572.702647535.-1513322572;t:e,Salt Lake City,SLC
